user_id,movie_id,rating
1,44,3
1,41,4
1,47,4
1,13,2
1,25,1
1,32,2
1,18,4
1,33,2
1,4,5
1,31,3
1,14,3
1,9,5
1,50,3
1,7,5
2,6,5
2,42,4
2,20,3
2,32,2
2,39,3
2,2,5
2,4,5
2,38,4
2,35,3
2,27,1
2,45,3
2,28,1
2,48,4
2,5,4
2,22,1
2,33,2
2,37,4
3,21,3
3,35,4
3,48,3
3,49,4
3,14,3
3,16,2
3,10,4
3,17,3
4,31,2
4,34,4
4,39,3
4,49,3
4,12,4
4,42,5
4,14,3
4,13,4
4,10,4
5,37,3
5,28,2
5,43,4
5,13,3
5,5,5
5,34,2
5,30,2
5,10,4
5,17,2
5,6,5
5,49,3
5,41,5
5,12,4
5,15,4
5,21,1
5,27,1
6,28,1
6,15,2
6,5,5
6,39,2
6,41,4
6,14,3
6,6,4
6,30,1
6,38,2
6,48,3
6,44,5
6,4,5
6,34,2
6,20,3
6,19,3
7,47,3
7,34,4
7,27,2
7,22,1
7,20,2
7,18,3
7,36,3
7,14,2
7,11,3
7,10,5
7,3,5
7,29,2
7,46,3
7,50,3
7,7,5
7,42,4
7,31,4
7,24,2
7,48,3
8,46,4
8,26,1
8,6,5
8,30,1
8,50,3
8,36,3
8,31,4
8,15,3
8,45,3
8,44,4
8,25,2
8,11,2
8,47,3
8,21,1
8,5,5
9,17,4
9,15,3
9,34,2
9,29,1
9,8,5
9,26,1
9,6,5
9,18,4
9,1,5
9,50,5
9,42,4
9,2,5
9,37,2
9,11,3
9,38,3
9,32,3
10,10,4
10,31,3
10,2,4
10,24,1
10,32,2
10,29,2
10,7,5
10,42,3
10,44,3
10,23,1
10,34,2
10,35,3
10,17,2
10,14,2
10,40,3
10,9,5
10,36,2
11,4,4
11,40,2
11,28,2
11,34,3
11,8,4
11,37,2
11,43,3
11,23,1
11,15,3
11,36,4
11,12,3
11,14,4
11,7,5
11,19,2
11,24,2
11,20,3
11,38,3
11,41,4
11,29,2
11,48,4
12,26,2
12,28,1
12,25,1
12,37,2
12,14,2
12,1,4
12,19,2
12,32,2
12,8,4
12,22,1
12,12,2
12,7,5
12,9,5
12,3,5
12,42,3
12,16,3
12,45,4
12,11,2
13,30,2
13,31,3
13,44,4
13,21,2
13,45,4
13,4,5
13,49,4
13,16,3
13,42,3
13,20,4
13,25,2
13,46,3
13,9,5
13,29,1
13,10,5
13,12,2
13,5,4
13,34,3
14,18,3
14,14,4
14,7,5
14,34,3
14,27,1
14,21,1
14,45,4
14,23,1
14,29,1
14,1,5
14,35,2
15,46,3
15,49,4
15,45,5
15,33,3
15,16,2
15,41,5
15,43,4
15,36,3
15,6,4
15,25,2
15,18,3
15,7,5
16,26,1
16,1,4
16,9,4
16,14,3
16,3,5
16,41,3
16,7,5
16,23,2
16,34,2
16,6,5
16,28,2
16,45,3
16,16,2
16,18,2
17,16,2
17,3,5
17,14,3
17,50,4
17,8,4
17,4,5
17,42,3
17,38,4
17,27,1
17,5,4
17,32,2
17,35,3
17,49,4
17,24,1
17,39,3
18,9,5
18,31,4
18,48,3
18,14,4
18,17,3
18,12,3
18,6,5
